InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Gender,Age,Amount
574740,21555,CERAMIC STRAWBERRY TRINKET TRAY,6,06/11/2011 16:07,2.55,12357,Switzerland,Male,30,15.3
574740,21039,RED RETROSPOT SHOPPING BAG,12,06/11/2011 16:07,2.55,12357,Switzerland,Male,30,30.6
574740,23302,KNEELING MAT HOUSEWORK  DESIGN,12,06/11/2011 16:07,1.65,12357,Switzerland,Male,30,19.8
574740,22059,CERAMIC STRAWBERRY DESIGN MUG,12,06/11/2011 16:07,1.49,12357,Switzerland,Male,30,17.88
574740,37446,MINI CAKE STAND WITH HANGING CAKES,16,06/11/2011 16:07,1.45,12357,Switzerland,Male,30,23.2
574740,22969,HOMEMADE JAM SCENTED CANDLES,96,06/11/2011 16:07,1.25,12357,Switzerland,Male,30,120
574740,72741,GRAND CHOCOLATECANDLE,72,06/11/2011 16:07,1.25,12357,Switzerland,Male,30,90
574740,21154,RED RETROSPOT OVEN GLOVE,30,06/11/2011 16:07,1.25,12357,Switzerland,Male,30,37.5
574740,21508,VINTAGE KID DOLLY CARD,24,06/11/2011 16:07,0.42,12357,Switzerland,Male,30,10.08
574740,22716,CARD CIRCUS PARADE,24,06/11/2011 16:07,0.42,12357,Switzerland,Male,30,10.08
574740,22714,CARD BIRTHDAY COWBOY,24,06/11/2011 16:07,0.42,12357,Switzerland,Male,30,10.08
574740,22718,CARD CAT AND TREE,24,06/11/2011 16:07,0.42,12357,Switzerland,Male,30,10.08
574740,22814,CARD PARTY GAMES,24,06/11/2011 16:07,0.42,12357,Switzerland,Male,30,10.08
559707,48185,DOORMAT FAIRY CAKE,2,12/07/2011 10:04,7.95,12358,Austria,Female,51,15.9
559707,22059,CERAMIC STRAWBERRY DESIGN MUG,12,12/07/2011 10:04,1.49,12358,Austria,Female,51,17.88
581232,20679,EDWARDIAN PARASOL RED,24,08/12/2011 10:26,5.95,12358,Austria,Female,51,142.8
581232,15056P,EDWARDIAN PARASOL PINK,12,08/12/2011 10:26,5.95,12358,Austria,Female,51,71.4
540946,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,12/01/2011 12:43,4.95,12359,Cyprus,Male,32,14.85
540946,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,12/01/2011 12:43,2.95,12359,Cyprus,Male,32,17.7
543370,22776,SWEETHEART CAKESTAND 3 TIER,4,07/02/2011 14:51,9.95,12359,Cyprus,Male,32,39.8
543370,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,07/02/2011 14:51,8.5,12359,Cyprus,Male,32,17
543370,22840,ROUND CAKE TIN VINTAGE RED,2,07/02/2011 14:51,7.95,12359,Cyprus,Male,32,15.9
543370,21756,BATH BUILDING BLOCK WORD,3,07/02/2011 14:51,5.95,12359,Cyprus,Male,32,17.85
543370,22199,FRYING PAN RED RETROSPOT,4,07/02/2011 14:51,4.25,12359,Cyprus,Male,32,17
543370,22900,SET 2 TEA TOWELS I LOVE LONDON,6,07/02/2011 14:51,2.95,12359,Cyprus,Male,32,17.7
543370,22896,PEG BAG APPLES DESIGN,6,07/02/2011 14:51,2.55,12359,Cyprus,Male,32,15.3
543370,22858,EASTER TIN KEEPSAKE,6,07/02/2011 14:51,1.65,12359,Cyprus,Male,32,9.9
543370,22961,JAM MAKING SET PRINTED,12,07/02/2011 14:51,1.45,12359,Cyprus,Male,32,17.4
555477,22501,PICNIC BASKET WICKER LARGE,4,03/06/2011 12:26,9.95,12359,Cyprus,Male,32,39.8
555477,82484,WOOD BLACK BOARD ANT WHITE FINISH,6,03/06/2011 12:26,7.95,12359,Cyprus,Male,32,47.7
555477,23110,PARISIENNE KEY CABINET,2,03/06/2011 12:26,5.75,12359,Cyprus,Male,32,11.5
555477,23126,FELTCRAFT GIRL AMELIE KIT,4,03/06/2011 12:26,4.95,12359,Cyprus,Male,32,19.8
555477,23298,SPOTTY BUNTING,3,03/06/2011 12:26,4.95,12359,Cyprus,Male,32,14.85
555477,22699,ROSES REGENCY TEACUP AND SAUCER,6,03/06/2011 12:26,2.95,12359,Cyprus,Male,32,17.7
571034,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,2,13/10/2011 12:47,145,12359,Cyprus,Male,32,290
571034,22423,REGENCY CAKESTAND 3 TIER,6,13/10/2011 12:47,12.75,12359,Cyprus,Male,32,76.5
571034,22423,REGENCY CAKESTAND 3 TIER,3,13/10/2011 12:47,12.75,12359,Cyprus,Male,32,38.25
571034,23397,FOOT STOOL HOME SWEET HOME,2,13/10/2011 12:47,9.95,12359,Cyprus,Male,32,19.9
571034,23114,VINTAGE LEAF CHOPPING BOARD,3,13/10/2011 12:47,4.95,12359,Cyprus,Male,32,14.85
571034,22727,ALARM CLOCK BAKELIKE RED,4,13/10/2011 12:47,3.75,12359,Cyprus,Male,32,15
571034,23175,REGENCY MILK JUG PINK,4,13/10/2011 12:47,3.25,12359,Cyprus,Male,32,13
571034,23200,JUMBO BAG PEARS,10,13/10/2011 12:47,2.08,12359,Cyprus,Male,32,20.8
571034,21136,PAINTED METAL PEARS ASSORTED,16,13/10/2011 12:47,1.69,12359,Cyprus,Male,32,27.04
571034,21935,SUKI  SHOULDER BAG,10,13/10/2011 12:47,1.65,12359,Cyprus,Male,32,16.5
C580165,22826,LOVE SEAT ANTIQUE WHITE METAL,-1,02/12/2011 11:21,42.5,12359,Cyprus,Male,32,-42.5
554132,22431,WATERING CAN BLUE ELEPHANT,6,23/05/2011 09:43,1.95,12360,Austria,Female,44,11.7
554132,21244,BLUE POLKADOT PLATE,8,23/05/2011 09:43,1.69,12360,Austria,Female,44,13.52
554132,22621,TRADITIONAL KNITTING NANCY,12,23/05/2011 09:43,1.65,12360,Austria,Female,44,19.8
554132,21240,BLUE POLKADOT CUP,8,23/05/2011 09:43,0.85,12360,Austria,Female,44,6.8
554132,23155,KNICKERBOCKERGLORY MAGNET ASSORTED,12,23/05/2011 09:43,0.83,12360,Austria,Female,44,9.96
563749,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,19/08/2011 10:10,2.25,12360,Austria,Female,44,13.5
563749,20676,RED RETROSPOT BOWL,8,19/08/2011 10:10,1.25,12360,Austria,Female,44,10
563749,23287,RED VINTAGE SPOT BEAKER,8,19/08/2011 10:10,0.85,12360,Austria,Female,44,6.8
571705,22139,RETROSPOT TEA SET CERAMIC 11 PC,6,18/10/2011 15:22,4.95,12360,Austria,Female,44,29.7
571705,84997B,CHILDRENS CUTLERY RETROSPOT RED,4,18/10/2011 15:22,4.15,12360,Austria,Female,44,16.6
571705,21789,KIDS RAIN MAC PINK,24,18/10/2011 15:22,0.85,12360,Austria,Female,44,20.4
544203,47566B,TEA TIME PARTY BUNTING,4,17/02/2011 10:30,4.95,12362,Belgium,Male,39,19.8
544203,21718,RED METAL BEACH SPADE,12,17/02/2011 10:30,1.25,12362,Belgium,Male,39,15
C544902,22629,SPACEBOY LUNCH BOX,-1,24/02/2011 13:05,1.95,12362,Belgium,Male,39,-1.95
559295,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,07/07/2011 12:32,1.65,12362,Belgium,Male,39,19.8
563037,23292,SPACEBOY CHILDRENS CUP,8,11/08/2011 15:02,1.25,12362,Belgium,Male,39,10
563037,21981,PACK OF 12 WOODLAND TISSUES,24,11/08/2011 15:02,0.29,12362,Belgium,Male,39,6.96
568651,85014B,RED RETROSPOT UMBRELLA,3,28/09/2011 12:04,5.95,12362,Belgium,Male,39,17.85
568651,22728,ALARM CLOCK BAKELIKE PINK,4,28/09/2011 12:04,3.75,12362,Belgium,Male,39,15
568651,22326,ROUND SNACK BOXES SET OF4 WOODLAND,6,28/09/2011 12:04,2.95,12362,Belgium,Male,39,17.7
568651,22452,MEASURING TAPE BABUSHKA PINK,6,28/09/2011 12:04,2.95,12362,Belgium,Male,39,17.7
570667,22352,LUNCH BOX WITH CUTLERY RETROSPOT,12,11/10/2011 14:33,2.55,12362,Belgium,Male,39,30.6
570667,22629,SPACEBOY LUNCH BOX,12,11/10/2011 14:33,1.95,12362,Belgium,Male,39,23.4
570667,23209,LUNCH BAG VINTAGE DOILY,10,11/10/2011 14:33,1.65,12362,Belgium,Male,39,16.5
572887,23010,CIRCUS PARADE BABY GIFT SET,1,26/10/2011 13:47,16.95,12362,Belgium,Male,39,16.95
572887,20679,EDWARDIAN PARASOL RED,6,26/10/2011 13:47,5.95,12362,Belgium,Male,39,35.7
572887,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,26/10/2011 13:47,3.75,12362,Belgium,Male,39,15
572887,22352,LUNCH BOX WITH CUTLERY RETROSPOT,6,26/10/2011 13:47,2.55,12362,Belgium,Male,39,15.3
573173,48194,DOORMAT HEARTS,2,28/10/2011 10:10,8.25,12362,Belgium,Male,39,16.5
573173,21485,RETROSPOT HEART HOT WATER BOTTLE,3,28/10/2011 10:10,4.95,12362,Belgium,Male,39,14.85
573173,23319,BOX OF 6 MINI 50'S CRACKERS,12,28/10/2011 10:10,2.49,12362,Belgium,Male,39,29.88
573173,23378,PACK OF 12 50'S CHRISTMAS TISSUES,24,28/10/2011 10:10,0.39,12362,Belgium,Male,39,9.36
574329,22970,LONDON BUS COFFEE MUG,6,04/11/2011 09:07,2.55,12362,Belgium,Male,39,15.3
574329,22197,POPCORN HOLDER,36,04/11/2011 09:07,0.85,12362,Belgium,Male,39,30.6
580979,20750,RED RETROSPOT MINI CASES,2,06/12/2011 15:40,7.95,12362,Belgium,Male,39,15.9
580979,23238,SET OF 4 KNICK KNACK TINS LONDON,6,06/12/2011 15:40,4.15,12362,Belgium,Male,39,24.9
580979,23244,ROUND STORAGE TIN VINTAGE LEAF,6,06/12/2011 15:40,1.95,12362,Belgium,Male,39,11.7
549687,21973,SET OF 36 MUSHROOM PAPER DOILIES,12,11/04/2011 13:29,1.45,12363,Unspecified,Male,65,17.4
549687,21212,PACK OF 72 RETROSPOT CAKE CASES,24,11/04/2011 13:29,0.55,12363,Unspecified,Male,65,13.2
563947,22952,60 CAKE CASES VINTAGE CHRISTMAS,36,22/08/2011 10:18,0.55,12363,Unspecified,Male,65,19.8
563854,22332,SKULLS PARTY BAG + STICKER SET,16,19/08/2011 15:24,1.65,12364,Belgium,Female,31,26.4
563854,20978,36 PENCILS TUBE SKULLS,16,19/08/2011 15:24,1.25,12364,Belgium,Female,31,20
563854,21989,PACK OF 20 SKULL PAPER NAPKINS,12,19/08/2011 15:24,0.85,12364,Belgium,Female,31,10.2
563854,84991,60 TEATIME FAIRY CAKE CASES,24,19/08/2011 15:24,0.55,12364,Belgium,Female,31,13.2
563854,23307,SET OF 60 PANTRY DESIGN CAKE CASES,24,19/08/2011 15:24,0.55,12364,Belgium,Female,31,13.2
567897,23310,BUBBLEGUM RING ASSORTED,180,22/09/2011 16:07,0.36,12364,Belgium,Female,31,64.8
573401,21059,PARTY INVITES DINOSAURS,12,30/10/2011 15:43,0.85,12364,Belgium,Female,31,10.2
573401,22437,SET OF 9 BLACK SKULL BALLOONS,20,30/10/2011 15:43,0.85,12364,Belgium,Female,31,17
580152,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,02/12/2011 10:22,2.95,12364,Belgium,Female,31,17.7
580152,21197,MULTICOLOUR  CONFETTI IN TUBE,12,02/12/2011 10:22,1.65,12364,Belgium,Female,31,19.8
580152,21495,SKULLS AND CROSSBONES WRAP,25,02/12/2011 10:22,0.42,12364,Belgium,Female,31,10.5
580152,22045,SPACEBOY GIFT WRAP,25,02/12/2011 10:22,0.42,12364,Belgium,Female,31,10.5
580152,22708,WRAP DOLLY GIRL,25,02/12/2011 10:22,0.42,12364,Belgium,Female,31,10.5
580152,16161U,WRAP SUKI AND FRIENDS,25,02/12/2011 10:22,0.42,12364,Belgium,Female,31,10.5
544574,20972,PINK CREAM FELT CRAFT TRINKET BOX,12,21/02/2011 13:51,1.25,12365,Cyprus,Female,43,15
580716,22708,WRAP DOLLY GIRL,25,05/12/2011 16:48,0.42,12367,Denmark,Female,62,10.5
538826,22070,SMALL RED RETROSPOT MUG IN BOX,5,14/12/2010 12:58,3.75,12370,Cyprus,Female,21,18.75
538826,22070,SMALL RED RETROSPOT MUG IN BOX,5,14/12/2010 12:58,3.75,12370,Cyprus,Female,21,18.75
538826,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,1,14/12/2010 12:58,2.95,12370,Cyprus,Female,21,2.95
538826,22582,PACK OF 6 SWEETIE GIFT BOXES,6,14/12/2010 12:58,2.55,12370,Cyprus,Female,21,15.3
538826,72741,GRAND CHOCOLATECANDLE,18,14/12/2010 12:58,1.45,12370,Cyprus,Female,21,26.1
538826,22291,HANGING CHICK CREAM DECORATION,24,14/12/2010 12:58,1.45,12370,Cyprus,Female,21,34.8
538826,72741,GRAND CHOCOLATECANDLE,18,14/12/2010 12:58,1.45,12370,Cyprus,Female,21,26.1
538826,22291,HANGING CHICK CREAM DECORATION,24,14/12/2010 12:58,1.45,12370,Cyprus,Female,21,34.8
538826,21030,SPACE CADET RED,10,14/12/2010 12:58,1.25,12370,Cyprus,Female,21,12.5
538826,21030,SPACE CADET RED,10,14/12/2010 12:58,1.25,12370,Cyprus,Female,21,12.5
539330,POST,POSTAGE,3,17/12/2010 09:38,40,12370,Austria,Female,21,120
546236,21056,DOCTOR'S BAG SOFT TOY,6,10/03/2011 12:48,8.95,12370,Cyprus,Female,21,53.7
546236,22780,LIGHT GARLAND BUTTERFILES PINK,4,10/03/2011 12:48,4.25,12370,Cyprus,Female,21,17
571905,22779,WOODEN OWLS LIGHT GARLAND,4,19/10/2011 14:51,4.25,12370,Cyprus,Female,21,17
571905,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,12,19/10/2011 14:51,2.55,12370,Cyprus,Female,21,30.6
571905,84946,ANTIQUE SILVER T-LIGHT GLASS,12,19/10/2011 14:51,1.25,12370,Cyprus,Female,21,15
571905,22154,ANGEL DECORATION 3 BUTTONS,48,19/10/2011 14:51,0.42,12370,Cyprus,Female,21,20.16
570521,23355,HOT WATER BOTTLE KEEP CALM,4,11/10/2011 10:43,4.95,12371,Switzerland,Male,62,19.8
570521,23357,HOT WATER BOTTLE SEX BOMB,4,11/10/2011 10:43,4.95,12371,Switzerland,Male,62,19.8
570521,21615,4 LAVENDER BOTANICAL DINNER CANDLES,6,11/10/2011 10:43,3.75,12371,Switzerland,Male,62,22.5
570521,22311,OFFICE MUG WARMER BLACK+SILVER,30,11/10/2011 10:43,2.95,12371,Switzerland,Male,62,88.5
570521,22313,OFFICE MUG WARMER PINK,12,11/10/2011 10:43,2.95,12371,Switzerland,Male,62,35.4
570521,21558,SKULL LUNCH BOX WITH CUTLERY,6,11/10/2011 10:43,2.55,12371,Switzerland,Male,62,15.3
570521,22866,HAND WARMER SCOTTY DOG DESIGN,12,11/10/2011 10:43,2.1,12371,Switzerland,Male,62,25.2
544157,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,16/02/2011 12:46,4.25,12372,Denmark,Female,18,17
544157,22630,DOLLY GIRL LUNCH BOX,12,16/02/2011 12:46,1.95,12372,Denmark,Female,18,23.4
552731,22328,ROUND SNACK BOXES SET OF 4 FRUITS,24,11/05/2011 10:43,2.95,12372,Denmark,Female,18,70.8
552731,22556,PLASTERS IN TIN CIRCUS PARADE,24,11/05/2011 10:43,1.65,12372,Denmark,Female,18,39.6
552731,22711,WRAP CIRCUS PARADE,25,11/05/2011 10:43,0.42,12372,Denmark,Female,18,10.5
576345,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,14/11/2011 15:37,4.25,12374,Austria,Female,28,17
576345,23571,TRADITIONAL NAUGHTS & CROSSES,12,14/11/2011 15:37,1.65,12374,Austria,Female,28,19.8
C581071,85099C,JUMBO  BAG BAROQUE BLACK WHITE,-1,07/12/2011 11:27,2.08,12375,Finland,Female,62,-2.08
539488,22108,PING! MICROWAVE PLATE,4,20/12/2010 09:37,3.75,12377,Switzerland,Female,23,15
539488,22303,COFFEE MUG APPLES DESIGN,12,20/12/2010 09:37,2.55,12377,Switzerland,Female,23,30.6
539488,22301,COFFEE MUG CAT + BIRD DESIGN,12,20/12/2010 09:37,2.55,12377,Switzerland,Female,23,30.6
539488,22190,LOCAL CAFE MUG,12,20/12/2010 09:37,2.1,12377,Switzerland,Female,23,25.2
539488,22551,PLASTERS IN TIN SPACEBOY,12,20/12/2010 09:37,1.65,12377,Switzerland,Female,23,19.8
539488,22544,MINI JIGSAW SPACEBOY,24,20/12/2010 09:37,0.42,12377,Switzerland,Female,23,10.08
539488,22538,MINI JIGSAW GO TO THE FAIR,24,20/12/2010 09:37,0.42,12377,Switzerland,Female,23,10.08
539488,22713,CARD I LOVE LONDON,12,20/12/2010 09:37,0.42,12377,Switzerland,Female,23,5.04
542586,22501,PICNIC BASKET WICKER LARGE,6,28/01/2011 15:45,9.95,12377,Switzerland,Female,23,59.7
542586,20662,FIRST CLASS HOLIDAY PURSE,6,28/01/2011 15:45,2.95,12377,Switzerland,Female,23,17.7
542586,21365,MIRRORED WALL ART STARS,12,28/01/2011 15:45,2.95,12377,Switzerland,Female,23,35.4
542586,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,28/01/2011 15:45,2.55,12377,Switzerland,Female,23,15.3
542586,85206A,CREAM FELT EASTER EGG BASKET,6,28/01/2011 15:45,1.65,12377,Switzerland,Female,23,9.9
542586,16012,FOOD/DRINK SPONGE STICKERS,24,28/01/2011 15:45,0.21,12377,Switzerland,Female,23,5.04
562046,22846,BREAD BIN DINER STYLE RED,1,02/08/2011 10:34,16.95,12378,Switzerland,Female,22,16.95
562046,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,4,02/08/2011 10:34,4.95,12378,Switzerland,Female,22,19.8
562046,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,02/08/2011 10:34,4.15,12378,Switzerland,Female,22,16.6
562046,23256,CHILDRENS CUTLERY SPACEBOY,4,02/08/2011 10:34,4.15,12378,Switzerland,Female,22,16.6
562046,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,6,02/08/2011 10:34,2.95,12378,Switzerland,Female,22,17.7
562046,23109,PACK OF SIX LED TEA LIGHTS,24,02/08/2011 10:34,2.89,12378,Switzerland,Female,22,69.36
562046,23194,GYMKHANA TREASURE BOOK BOX,8,02/08/2011 10:34,2.25,12378,Switzerland,Female,22,18
562046,20754,RETROSPOT RED WASHING UP GLOVES,6,02/08/2011 10:34,2.1,12378,Switzerland,Female,22,12.6
562046,22629,SPACEBOY LUNCH BOX,12,02/08/2011 10:34,1.95,12378,Switzerland,Female,22,23.4
562046,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,10,02/08/2011 10:34,1.65,12378,Switzerland,Female,22,16.5
562046,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,02/08/2011 10:34,1.45,12378,Switzerland,Female,22,17.4
562046,22435,SET OF 9 HEART SHAPED BALLOONS,12,02/08/2011 10:34,1.25,12378,Switzerland,Female,22,15
562046,22982,PANTRY PASTRY BRUSH,12,02/08/2011 10:34,1.25,12378,Switzerland,Female,22,15
562046,22966,GINGERBREAD MAN COOKIE CUTTER,12,02/08/2011 10:34,1.25,12378,Switzerland,Female,22,15
562046,23250,VINTAGE RED TRIM ENAMEL BOWL,12,02/08/2011 10:34,1.25,12378,Switzerland,Female,22,15
562046,23347,I LOVE LONDON BEAKER,12,02/08/2011 10:34,1.25,12378,Switzerland,Female,22,15
562046,20675,BLUE POLKADOT BOWL,8,02/08/2011 10:34,1.25,12378,Switzerland,Female,22,10
562046,21668,RED STRIPE CERAMIC DRAWER KNOB,12,02/08/2011 10:34,1.25,12378,Switzerland,Female,22,15
562046,23077,DOUGHNUT LIP GLOSS,20,02/08/2011 10:34,1.25,12378,Switzerland,Female,22,25
562046,21094,SET/6 RED SPOTTY PAPER PLATES,48,02/08/2011 10:34,0.85,12378,Switzerland,Female,22,40.8
562046,23221,REINDEER HEART DECORATION SILVER,12,02/08/2011 10:34,0.83,12378,Switzerland,Female,22,9.96
562046,22615,PACK OF 12 CIRCUS PARADE TISSUES,24,02/08/2011 10:34,0.29,12378,Switzerland,Female,22,6.96
567196,22326,ROUND SNACK BOXES SET OF4 WOODLAND,12,19/09/2011 10:09,2.95,12379,Belgium,Female,25,35.4
567196,21426,WOODLAND STORAGE BOX SMALL,6,19/09/2011 10:09,2.1,12379,Belgium,Female,25,12.6
567196,85099B,JUMBO BAG RED RETROSPOT,10,19/09/2011 10:09,2.08,12379,Belgium,Female,25,20.8
555739,23206,LUNCH BAG APPLE DESIGN,10,07/06/2011 09:49,1.65,12380,Belgium,Female,46,16.5
555739,20728,LUNCH BAG CARS BLUE,10,07/06/2011 09:49,1.65,12380,Belgium,Female,46,16.5
555739,22355,CHARLOTTE BAG SUKI DESIGN,10,07/06/2011 09:49,0.85,12380,Belgium,Female,46,8.5
567928,22628,PICNIC BOXES SET OF 3 RETROSPOT,8,22/09/2011 17:31,4.95,12380,Belgium,Female,46,39.6
567928,20713,JUMBO BAG OWLS,10,22/09/2011 17:31,2.08,12380,Belgium,Female,46,20.8
567928,20726,LUNCH BAG WOODLAND,10,22/09/2011 17:31,1.65,12380,Belgium,Female,46,16.5
567928,21976,PACK OF 60 MUSHROOM CAKE CASES,24,22/09/2011 17:31,0.55,12380,Belgium,Female,46,13.2
571187,84997B,CHILDRENS CUTLERY RETROSPOT RED,4,14/10/2011 11:39,4.15,12380,Belgium,Female,46,16.6
577180,22467,GUMBALL COAT RACK,36,18/11/2011 11:27,2.1,12380,Belgium,Female,46,75.6
563100,22139,RETROSPOT TEA SET CERAMIC 11 PC,3,12/08/2011 09:57,4.95,12381,Norway,Female,22,14.85
